,id,name,city,collaborator_users,admin_users,classes_count,text_count,scorm_count,programs_count,created_tests_count,created_news_count,new_views_count,courses_count,finished_courses,answered_questions_count,correct_answers_count,incorrect_answers_count,likes_count,created_questions,created_questions,comments_count,attempts_count
0,1,Pontificia Universidad Católica de Chile,"Santiago, Chile",7181.0,1.0,587.0,,,1.0,273.0,,,20.0,42.0,7657.0,3741.0,3692.0,,101.0,101.0,,10.0
1,2,Google,"Mountain View, CA, USA",830.0,1.0,379.0,,,,9.0,,,40.0,6.0,2082.0,1089.0,982.0,,972.0,972.0,,7.0
2,4,Khan Academy,"Mountain View, CA, USA",667.0,2.0,1872.0,,,,,,,42.0,4.0,2907.0,1607.0,1069.0,,18.0,18.0,,4.0
3,5,Indian Institute of Technology,India,499.0,3.0,4560.0,,,,1.0,,,127.0,3.0,391.0,239.0,134.0,,57.0,57.0,,4.0
4,6,The University of New South Wales,"Sydney, Australia ",145.0,3.0,227.0,,,,,,,27.0,,98.0,7.0,4.0,,,,,
5,7,Government of Chile,"Santiago, Chile",384.0,3.0,303.0,,,,67.0,,,28.0,,282.0,165.0,112.0,,350.0,350.0,,
6,8,Counsyl - Inc.,"Redwood Shores, CA",0.0,2.0,1.0,,,,1.0,,,1.0,,1.0,1.0,0.0,,1.0,1.0,,
7,10,Universidad Técnica Federico Santa María,"Valparaíso, Región de Valparaíso",7.0,3.0,3.0,11.0,1.0,1.0,6.0,,,2.0,1.0,43.0,20.0,23.0,,9.0,9.0,,
8,11,Epicenter,"Stanford, CA",0.0,1.0,,,,,,,,,,,,,,,,,
9,12,Educación Continua UC,Santiago de Chile,2086.0,12.0,855.0,311.0,,9.0,117.0,,,88.0,2038.0,36354.0,22638.0,13453.0,1.0,13568.0,13568.0,,94.0
10,13,Endeavor,Santiago de Chile,723.0,4.0,28.0,,,1.0,27.0,,,1.0,26.0,3293.0,1980.0,1115.0,,796.0,796.0,,16.0
11,14,Universidad del Desarrollo,Santiago de Chile,470.0,5.0,298.0,288.0,4.0,20.0,458.0,,,23.0,438.0,19612.0,13150.0,5940.0,,2.0,2.0,,470.0
12,15,Massachusetts Institute of Technology,Cambridge,1588.0,3.0,1142.0,,,1.0,210.0,,,65.0,2.0,1965.0,999.0,723.0,,987.0,987.0,,12.0
13,16,Harvard University,Cambridge,426.0,3.0,21.0,,,,38.0,,,3.0,,359.0,207.0,149.0,,103.0,103.0,,
