,id,name,city,collaborator_users,admin_users,classes_count,text_count,scorm_count,programs_count,created_tests_count,created_news_count,new_views_count,courses_count,finished_courses,answered_questions_count,correct_answers_count,incorrect_answers_count,likes_count,created_questions,created_questions,comments_count,attempts_count
0,1,Pontificia Universidad Católica de Chile,"Santiago, Chile",7181.0,1.0,587.0,,,1.0,273.0,,,20.0,43.0,7687.0,3763.0,3700.0,,101.0,101.0,,10.0
1,2,Google,"Mountain View, CA, USA",830.0,1.0,379.0,,,,9.0,,,40.0,5.0,2082.0,1089.0,982.0,,972.0,972.0,,7.0
2,11,Epicenter,"Stanford, CA",0.0,1.0,,,,,,,,,,,,,,,,,
3,12,Educación Continua UC,Santiago de Chile,2086.0,12.0,855.0,311.0,,9.0,117.0,,,88.0,2039.0,36392.0,22675.0,13454.0,1.0,13908.0,13908.0,,94.0
4,14,Universidad del Desarrollo,Santiago de Chile,470.0,5.0,298.0,288.0,4.0,20.0,459.0,,,23.0,431.0,19710.0,13176.0,6006.0,,2.0,2.0,,470.0
5,15,Massachusetts Institute of Technology,Cambridge,1588.0,3.0,1142.0,,,1.0,210.0,,,65.0,2.0,1965.0,999.0,723.0,,987.0,987.0,,12.0
6,29,Universidad Diego Portales,"Santiago (RM), Chile",4811.0,12.0,949.0,476.0,,6.0,489.0,,,25.0,500.0,251721.0,188412.0,60754.0,,971.0,971.0,,135.0
7,36,Demo University,Demo City,181.0,15.0,1024.0,911.0,6.0,53.0,1517.0,,,114.0,22.0,947.0,537.0,406.0,1.0,,,1.0,10.0
8,40,Isapre Consalud,Santiago,28.0,2.0,60.0,114.0,,5.0,229.0,,,9.0,24.0,828.0,533.0,294.0,,6.0,6.0,,
9,43,Engie Energia Chile,"Santiago (RM), Chile",1625.0,22.0,387.0,29.0,1.0,10.0,108.0,,,158.0,2.0,11704.0,10558.0,1142.0,,340.0,340.0,,
10,48,Classroomtv,,3833.0,14.0,1739.0,992.0,75.0,147.0,1865.0,17.0,72.0,326.0,791.0,24048.0,14524.0,7509.0,13.0,145212.0,145212.0,33.0,1573.0
11,53,Universidad de los Andes,Santiago,242.0,8.0,115.0,35.0,,4.0,66.0,,,5.0,106.0,4406.0,3390.0,889.0,,12.0,12.0,,117.0
12,54,Consorcio,Santiago,2048.0,6.0,436.0,39.0,,7.0,116.0,,,44.0,13.0,93078.0,74326.0,18585.0,,525.0,525.0,,45.0
13,91,CTVDemo,,20.0,2.0,93.0,78.0,4.0,11.0,200.0,,,11.0,1.0,97.0,66.0,31.0,7.0,,,4.0,13.0
14,124,AppDemo,,1.0,2.0,15.0,2.0,1.0,2.0,4.0,,,6.0,,,,,,4.0,4.0,,
15,157,UDP en Línea,Santiago de Chile,573.0,5.0,28.0,4.0,,,,,,2.0,6.0,739.0,437.0,191.0,,244.0,244.0,,12.0
16,228,Vida Integra,,2371.0,5.0,59.0,47.0,,2.0,37.0,,,7.0,990.0,67546.0,45473.0,14759.0,,,,,943.0
17,231,(NO)Universidad Santo Tomás,,0.0,2.0,,,,,,,,,,,,,,,,,
18,244,no san camilo,,0.0,2.0,,,,,,,,,,,,,,,,,
19,322,(no)Santo Tomas,,1.0,2.0,,,,,,,,,,,,,,,,,
20,382,Universidad  San Sebastian,,1.0,1.0,496.0,344.0,,16.0,1003.0,,,33.0,,1.0,1.0,0.0,,,,,
21,410,U. Santiago,,106.0,2.0,31.0,34.0,,4.0,48.0,,,4.0,95.0,3777.0,2459.0,1108.0,,,,,329.0
22,431,Test,,1.0,1.0,,,,,,,,,,,,,,,,,
23,432,(no)u.santo tomás,,1.0,2.0,,,,,,,,,,,,,,1.0,1.0,,
24,536,ClassroomTV Test,Santiago,18.0,2.0,146.0,242.0,23.0,6.0,107.0,,,33.0,,28.0,9.0,19.0,,,,,
25,541,Treid,,12859.0,4.0,318.0,410.0,,10.0,259.0,,,281.0,2939.0,7428.0,6266.0,1078.0,,2876.0,2876.0,,69.0
26,554,Ministerio de Salud - SIAD,Santiago,1180.0,14.0,250.0,349.0,,7.0,126.0,,,76.0,520.0,159463.0,104062.0,14949.0,,1413.0,1413.0,,14.0
27,583,Delaire Capacitación,,21.0,4.0,78.0,,,2.0,56.0,,,2.0,4.0,1821.0,1237.0,372.0,,257.0,257.0,,
28,586,Salvaunavida Chile,,1116.0,4.0,1197.0,199.0,,33.0,265.0,,,36.0,278.0,21112.0,12234.0,5021.0,,1980.0,1980.0,,7.0
29,603,Agrosuper,Santiago,515.0,8.0,114.0,85.0,,8.0,129.0,,,12.0,146.0,21926.0,17318.0,4586.0,,224.0,224.0,,13.0
30,677,Teleton,,1660.0,7.0,3319.0,3659.0,,215.0,2929.0,,,278.0,8263.0,198256.0,147201.0,49882.0,1.0,3131.0,3131.0,,475.0
31,684,TIC UDP,,0.0,2.0,,,,,,,,,,,,,,,,,
32,687,PreOnline,,61.0,17.0,576.0,10.0,,1.0,834.0,,,17.0,,1434.0,719.0,712.0,,12644.0,12644.0,,
33,694,TVN CREAR,,6.0,4.0,46.0,41.0,,2.0,11.0,,,18.0,2.0,92.0,62.0,30.0,,29.0,29.0,,
34,709,Campus Corporativo,Santiago,24.0,4.0,25.0,33.0,,4.0,40.0,,,5.0,,52.0,27.0,25.0,,1.0,1.0,,
35,716,Besalco Construcciones,Santiago,297.0,5.0,151.0,179.0,,14.0,221.0,,,15.0,32.0,2496.0,1513.0,678.0,,287.0,287.0,,8.0
