,fecha,institution_id,logged_users
0,2017-06-30,115,1
1,2017-06-30,29,20
2,2017-06-30,730,3
3,2017-06-30,687,4
4,2017-06-30,375,2
5,2017-06-30,43,11
6,2017-06-30,731,1
7,2017-06-30,688,1
8,2017-06-30,541,52
9,2017-06-30,44,1
10,2017-06-30,735,1
11,2017-06-30,0,4
12,2017-06-30,713,1
13,2017-06-30,554,63
14,2017-06-30,48,1
15,2017-06-30,1,3
16,2017-06-30,716,1
17,2017-06-30,579,4
18,2017-06-30,75,5
19,2017-06-30,12,4
20,2017-06-30,728,5
21,2017-06-30,583,7
22,2017-07-01,0,114
23,2017-07-01,75,1075
24,2017-07-01,687,320
25,2017-07-01,1,486
26,2017-07-01,115,54
27,2017-07-01,579,260
28,2017-07-01,727,426
29,2017-07-01,43,718
30,2017-07-01,716,93
31,2017-07-01,17,10
32,2017-07-01,688,285
33,2017-07-01,583,144
34,2017-07-01,728,547
35,2017-07-01,12,359
36,2017-07-01,541,1627
37,2017-07-01,29,819
38,2017-07-01,54,201
39,2017-07-01,554,3408
40,2017-07-01,713,145
41,2017-07-03,735,18
42,2017-07-03,524,172
43,2017-07-03,44,421
44,2017-07-03,717,57
45,2017-07-03,730,30
46,2017-07-03,48,158
47,2017-07-03,720,9
48,2017-07-03,375,40
49,2017-07-03,13,2
50,2017-07-03,731,43
51,2017-07-04,38,6
52,2017-07-05,4,14
53,2017-07-05,586,1662
54,2017-07-05,254,1
55,2017-07-05,721,6
56,2017-07-06,119,2
57,2017-07-06,157,1
58,2017-07-06,294,7
59,2017-07-09,468,4
60,2017-07-10,40,6
61,2017-07-11,724,2
62,2017-07-11,715,1
63,2017-07-12,310,6
64,2017-07-12,694,6
65,2017-07-13,575,10
66,2017-07-13,15,4
67,2017-07-13,420,1
68,2017-07-18,736,32
69,2017-07-19,536,3
70,2017-07-19,24,2
71,2017-07-20,653,3
72,2017-07-21,320,1
73,2017-07-21,14,3
74,2017-07-25,603,1
75,2017-07-25,733,2
76,2017-07-26,708,2
77,2017-07-28,361,3
78,2017-08-01,44,24
79,2017-08-01,708,198
80,2017-08-01,731,63
81,2017-08-01,12,2357
82,2017-08-01,48,161
83,2017-08-01,713,40
84,2017-08-01,29,3554
85,2017-08-01,733,22
86,2017-08-01,579,338
87,2017-08-01,0,154
88,2017-08-01,54,146
89,2017-08-01,524,183
90,2017-08-01,687,186
91,2017-08-01,583,10
92,2017-08-01,727,502
