,scorm_id,institution_id,title,author_id,course_id,membership,view_count,create_time
0,19,107,Curso básico de Mantención prevención y mecánica en Autoplanet,21183,1685.0,2,82,2014-01-24
1,20,49,Ejemplo de módulo de SCORM,10636,1713.0,2,194,2014-02-27
2,21,124,SCORM 1,23419,1740.0,2,129,2014-04-11
3,22,24,Cómo Construir con Bloques de Hormigón Celular,7462,573.0,2,2,2014-08-25
4,23,48,Cómo Construir con Bloques de Hormigón Celular,10574,1783.0,2,14,2014-11-14
5,24,202,Scorm Test,28676,2211.0,2,3,2014-11-28
6,26,206,Tema1,28935,2230.0,2,1,2015-01-07
7,27,48,Golf Explained - CP Single SCO,10574,2232.0,2,1,2015-02-25
8,28,48,Golf Explained - CP Single SCO22,10574,2232.0,2,0,2015-02-25
9,29,48,Cómo Construir con Bloques de Hormigón Celular,10574,2232.0,2,1,2015-02-25
10,30,48,Deloitte,10574,2232.0,2,0,2015-02-25
11,31,240,Cajero Kaufmann,29508,2248.0,2,4,2015-04-02
12,32,24,Excel 2010 Básico_DEMO,7462,2378.0,2,17,2015-07-22
13,34,48,Excel 2010 Básico_DEMO,10574,2384.0,2,9,2015-07-28
14,38,459,EVALUACION UNICYT I,34016,2472.0,1,13,2015-10-05
15,42,48,EVALUACION UNICYT I,17829,2472.0,1,1,2015-10-06
16,43,48,EVALUACION UNICYT IB,17829,2472.0,2,1,2015-10-06
17,47,459,Actividad Multimedia Formativa Obligatoria,34016,2436.0,2,281,2015-10-08
18,55,524,Actividad sobre uso de EPP,37112,2503.0,2,1398,2015-11-12
19,57,524,Glosario,37112,2504.0,2,1306,2015-11-13
20,59,524,Actividad: Bloqueo y Desbloqueo,37112,2504.0,2,1212,2015-11-17
21,60,537,Golf Explained - Minimum Run-time Calls,38220,2526.0,2,3,2015-12-15
22,61,524,Glosario Técnico,37112,2503.0,2,1368,2016-01-07
23,63,536,Demo SCORM,38212,2538.0,2,8,2016-01-19
24,64,536,Demo SCORM,38212,2556.0,2,10,2016-01-20
25,65,536,Demo SCORM,38212,2557.0,2,8,2016-01-20
26,66,536,Demo SCORM,38212,2555.0,2,6,2016-01-20
27,67,536,Demo SCORM,38212,2554.0,2,9,2016-01-20
28,68,536,Demo SCORM,38212,2553.0,2,2,2016-01-20
29,69,536,Demo SCORM,38212,2552.0,2,3,2016-01-20
30,70,536,Demo SCORM,38212,2551.0,2,1,2016-01-20
31,71,536,Demo SCORM,38212,2550.0,2,1,2016-01-20
32,72,536,Demo SCORM,38212,2549.0,2,1,2016-01-20
33,73,536,Demo SCORM,38212,2548.0,2,0,2016-01-20
34,74,536,Demo SCORM,38212,2547.0,2,1,2016-01-20
35,75,536,Demo SCORM,38212,2546.0,2,1,2016-01-20
36,76,536,Demo SCORM,38212,2545.0,2,10,2016-01-20
37,77,536,Demo SCORM,38212,2544.0,2,0,2016-01-20
38,78,536,Demo SCORM,38212,2543.0,2,1,2016-01-20
39,79,536,Demo SCORM,38212,2542.0,2,0,2016-01-20
40,80,536,Demo SCORM,38212,2541.0,2,0,2016-01-20
41,81,536,Demo SCORM,38212,2540.0,1,2,2016-01-20
42,89,10,Demo SCORM,21525,2570.0,2,5,2016-03-10
43,90,48,Organization,10574,2384.0,2,11,2016-05-04
44,91,48,Organization,10574,2384.0,2,1,2016-05-04
45,92,48,Organization,10574,2384.0,2,5,2016-05-04
46,93,48,Glosario Técnico,17829,2593.0,2,1,2016-05-12
47,94,536,Demo SCORM,38212,2610.0,2,13,2016-05-31
48,95,628,Planets!,45676,2665.0,1,2,2016-07-07
49,102,536,Demo SCORM,38212,2800.0,2,1,2017-01-27
50,118,43,Cápsula Andamios,48058,2787.0,2,473,2017-04-17
51,134,48,Organization test,51438,2249.0,2,8,2018-03-19
52,188,536,PROVIDA Ordenes de Traspaso,17829,2540.0,2,1,2018-04-05
53,259,536,test,17829,2723.0,2,2,2018-06-08
54,295,741,Habitat,17829,4061.0,2,17,2018-10-24
55,296,48,Zurich - Derecho a Saber,96438,3740.0,2,1,2018-11-05
56,316,741,Uso Sitio Web - Claves de Seguridad,17829,4162.0,2,2,2018-12-21
57,317,741,MODULO 2,17829,4162.0,2,2,2018-12-21
58,319,741,MODULO 3,17829,4162.0,2,1,2018-12-21
59,345,747,Multifondos y rentabilidad ,96438,3732.0,2,259,2019-02-11
60,346,747,Provida,96438,3701.0,2,0,2019-02-11
61,347,747,Provida,96438,3954.0,2,0,2019-02-11
62,348,747,Modalidades de pensión ,96438,3703.0,2,413,2019-02-11
63,350,717,Actividad sobre uso de EPP,37112,4281.0,2,7,2019-02-19
64,351,717,Glosario Técnico,37112,4281.0,1,1,2019-02-19
65,356,741,Modelo de Prevención de Lavado de Activos,126348,4155.0,1,5,2019-03-22
66,357,741,Módulo I,126348,4178.0,2,4,2019-03-23
67,358,741,Módulo II,126348,4178.0,2,1,2019-03-23
68,359,741,Módulo III,126348,4161.0,2,5,2019-03-23
69,360,741,Módulo II,126348,4161.0,2,2,2019-03-23
70,361,741,Módulo I,126348,4161.0,2,8,2019-03-23
71,377,741,Modelo de Prevención del Delito,126348,4153.0,2,0,2019-03-26
72,380,741,Módulo 1,126348,4346.0,2,264,2019-04-01
73,381,741,Módulo 2,126348,4346.0,3,152,2019-04-01
74,382,741,Módulo 1,126348,4347.0,2,207,2019-04-01
75,383,741,Módulo 2,126348,4347.0,2,87,2019-04-01
76,384,741,Módulo 3,126348,4347.0,2,58,2019-04-01
77,387,741,Módulo 1,126348,4339.0,2,1168,2019-04-01
78,388,741,Módulo 2,126348,4339.0,2,464,2019-04-01
79,389,741,Módulo 3,126348,4339.0,2,356,2019-04-01
80,390,741,Módulo1,126348,4340.0,2,694,2019-04-01
