id,Cliente,"Usuarios totales","Usuarios activos","Usuarios cargados 2018","Usuarios cargados 2019","Usuarios cargados 2020","Usuarios cargados 2021","Usuarios cargados 2022","Usuarios con ingreso a plataforma 2019","Usuarios con ingreso a plataforma 2020","Usuarios con ingreso a plataforma 2021","Usuarios con ingreso a plataforma 2022"
1,"Pontificia Universidad Católica de Chile",7182,7,670,259,14,4,2,657,115,3,1
2,Google,831,169,1,0,0,0,0,2,0,0,0
4,"Khan Academy",669,181,0,0,0,0,0,0,0,0,1
5,"Indian Institute of Technology",502,117,2,0,0,0,0,0,0,0,0
6,"The University of New South Wales",148,50,3,0,0,0,0,0,0,0,0
7,"Government of Chile",387,42,0,0,0,0,0,0,0,0,0
8,"Counsyl - Inc.",2,2,0,0,0,0,0,0,0,0,0
10,"Universidad Técnica Federico Santa María",10,8,0,0,1,0,0,0,1,0,1
11,Epicenter,1,1,0,0,0,0,0,0,0,0,0
12,"Educación Continua UC",2098,1756,100,64,151,160,129,165,211,278,244
13,Endeavor,727,357,4,1,0,0,0,4,1,0,2
14,"Universidad del Desarrollo",475,432,5,7,6,154,214,8,6,181,174
15,"Massachusetts Institute of Technology",1591,529,2,0,0,0,0,3,1,0,1
16,"Harvard University",429,74,0,0,0,0,0,0,0,0,0
17,"University of California-Berkeley",402,99,0,0,1,0,0,1,0,0,0
18,"Yale University",721,244,2,0,0,0,0,4,0,0,1
19,"Princeton University",1,1,0,0,0,0,0,0,0,0,0
20,"Cornell University",2,2,0,0,0,0,0,0,0,0,0
21,"Carnegie Mellon University",1,1,0,0,0,0,0,0,0,0,0
22,"Brown University",2,1,0,0,0,0,0,0,0,0,0
23,"Stanford University",1013,359,4,0,0,0,0,2,1,0,1
24,Codelco,33,28,0,1,0,0,1,3,2,1,1
25,"Banco Penta",3,3,0,0,0,0,0,0,0,0,0
26,"Duoc UC",26,21,0,0,0,0,0,0,0,0,0
27,Salfacorp,15,14,0,0,0,1,0,0,0,0,0
28,Univesp,2,2,0,0,0,0,0,0,0,0,0
29,"Universidad Diego Portales",4823,2089,1095,490,3,4,4,830,68,16,9
30,"University of Calfornia - Los Angeles",266,72,2,0,0,0,1,1,0,0,0
31,"University of Michigan - Ann Arbor",87,29,1,0,0,0,0,0,0,1,0
32,"University of Oregon",63,22,0,0,0,0,0,1,0,0,0
33,"Universidade Estadual de Campinas",141,20,0,0,0,0,0,1,0,0,0
34,"Universidade Estadual Paulista",66,19,0,0,0,0,0,0,0,0,0
35,"Universidade de São Paulo",1,1,0,0,0,0,0,0,0,0,0
36,"Demo University",196,195,0,26,152,12,2,10,100,16,4
37,"Jump Chile",143,56,0,0,0,0,0,0,0,0,0
38,RASU,980,591,2,0,0,0,1,0,1,1,1
39,"Núcleo Milenio",6,6,0,0,0,0,0,0,0,0,0
40,"Isapre Consalud",30,30,0,27,0,0,0,27,0,0,1
41,Abril,4,2,0,0,0,0,0,0,0,0,0
43,"Engie Energia Chile",1647,1642,3,0,0,0,1,2,0,0,0
44,"Universidad de Chile",4624,3930,30,0,1,0,0,22,11,4,1
45,"Compara Online",51,49,0,0,0,2,0,0,0,0,0
46,Cencosud,19,11,0,0,0,0,0,0,0,0,0
47,"Perimeter Institute for Theoretical Physics",112,67,0,0,0,0,0,0,0,0,0
48,Classroomtv,3846,3781,238,418,1558,182,234,1028,231,62,87
49,CorpAcademy,14,7,1,0,0,0,0,0,0,0,0
50,"Startup Chile",46,19,1,0,0,0,0,0,0,0,0
51,"University of Washington",3,3,0,0,0,0,0,0,0,0,0
52,"Wientjes Academy",2,2,0,0,0,0,0,0,0,0,0
53,"Universidad de los Andes",250,249,0,0,0,0,32,0,0,0,21
54,Consorcio,2054,1986,0,0,21,2,2,7,0,0,0
55,EuroAmerica,354,341,0,0,2,0,0,0,0,1,1
56,engVid,2,2,0,0,0,0,0,0,0,0,0
57,Smartlink,2,2,0,0,0,0,0,0,0,0,0
58,BetaZeta,2,2,0,0,0,0,0,0,0,0,0
59,"Universidad de Santiago de Chile",4,3,0,0,0,0,0,0,0,0,1
61,AppAppeal,2,2,0,0,0,0,0,0,0,0,0
62,"Media factory-Latam",3,3,0,0,0,0,0,0,0,0,0
63,"SOLV campus Tuinbouw",2,2,0,0,0,0,0,0,0,0,0
64,Miclase,2,2,0,0,0,0,0,0,0,0,0
65,cepheid,2,2,0,0,0,0,0,0,0,0,0
66,Curso,2,2,0,0,0,0,0,0,0,0,0
67,DIBG,2,2,0,0,0,0,0,0,0,0,0
68,"Mas Cerca",265,263,0,0,0,0,0,0,2,0,1
69,"Academia Judicial",404,400,0,0,0,0,1,0,0,0,0
70,Duke,2,2,0,0,0,0,0,0,0,0,0
71,Pucobre,2,2,0,0,0,0,0,0,0,0,0
72,test_inst,1,1,0,0,0,0,0,1,0,0,0
73,"Central Michigan University",2,2,0,0,0,0,0,0,0,0,0
74,"Descargas para Ingenieros",2,1,0,0,0,0,0,0,0,0,0
75,"Clínica Dávila",8581,8487,1079,990,2112,53,0,995,1019,87,18
76,"TeselaGen Biotechnology",45,42,1,0,0,0,0,0,0,0,0
77,"Legacy Labs - LLC",2,2,0,0,0,0,0,0,0,0,0
78,"Mobitelio SPA",1,1,0,0,0,0,0,0,0,0,0
79,"Footscray Insitute of Tafe",2,2,0,0,0,0,0,0,0,0,0
80,comparaonline.com,2,2,0,0,0,0,0,0,0,0,1
81,eathisa,2,2,0,0,0,0,0,0,0,0,0
82,"Fundación Jaime Guzmán",44,44,40,0,0,0,0,3,0,0,1
83,"Inzpiral S.A.",4,4,0,0,0,0,0,0,0,0,0
84,knowhowklub,2,2,0,0,0,0,0,0,0,0,0
85,Frogmi,11,6,0,0,0,0,0,0,0,0,0
86,"inst politecnico industrial de telecomunicacioness",2,2,0,0,0,0,0,0,0,0,0
87,I-Contrata,10,2,0,0,0,0,0,0,0,0,0
88,"Chile California Council",82,15,0,0,0,0,0,0,0,0,0
90,songee,2,2,0,0,0,0,0,0,0,0,0
91,CTVDemo,22,22,0,0,0,20,0,0,0,1,5
92,Chanimal,4,4,0,0,0,0,0,0,0,0,0
93,PUni,1,1,0,0,0,0,0,0,0,0,0
94,"Palo Alto University",2,2,0,0,0,0,0,0,0,0,0
95,pau2,1,1,0,0,0,0,0,0,0,0,0
96,"Portal Minero",4,2,0,0,0,0,0,0,0,0,0
97,"Universidad Andrés Bello",32,13,0,0,0,0,0,0,0,0,0
98,"Programa de Acceso Inclusivo; Equidad y Permanencia Usach",32,18,0,0,0,0,0,0,0,0,0
99,sfdsf,2,2,0,0,0,0,0,0,0,0,0
100,Teaminside,2,2,0,0,0,0,0,0,0,0,0
101,"Municipalidad de Vitacura",3,2,0,0,0,0,0,0,0,0,0
102,"Larrain Vial",2,2,0,0,0,0,0,0,0,0,0
103,Inacap,4,3,0,0,0,0,0,0,0,0,0
104,"La Gran",2,2,0,0,0,0,0,0,0,0,0
105,Nico,2,2,0,0,0,0,0,0,0,0,0
106,"ICP Pachayachachiq",2,2,0,0,0,0,0,0,0,0,0
107,"Derco Parts",6,6,0,0,0,0,0,0,0,0,0
108,d3SAS,2,2,0,0,0,0,0,0,0,0,0
109,ninguna,2,2,0,0,0,0,0,0,0,0,0
110,"Code Academy",2,2,0,0,0,0,0,0,0,0,0
111,"La Serena Jam",3,2,0,0,0,0,0,0,0,0,0
112,Abrasol,2,2,0,0,0,0,0,0,0,0,0
113,"U de Chile",2,2,0,0,0,0,0,0,0,0,0
114,Socmed,3,2,0,0,0,0,0,0,0,0,0
115,"Postgrados Universidad Diego Portales",211,200,23,120,26,28,0,18,94,42,7
116,"Ideas corporativas",2,2,0,0,0,0,0,0,0,0,0
117,"Facultad de Ciencias Económicas y Empresariales - Universidad de los Andes",30,29,0,0,0,0,0,0,0,0,0
118,home,2,2,0,0,0,0,0,0,0,0,0
119,"Diario Financiero",886,848,0,0,0,0,0,1,1,0,2
120,StartX,1,1,0,0,0,0,0,0,0,0,0
121,matt,1,1,0,0,0,0,0,0,0,0,0
122,horny,1,1,0,0,0,0,0,0,0,0,0
