id,en,es
Logout,Logout,Cerrar sesión
Welcome,Welcome,Bienvenido
Select the institutions to show,Select the institutions to show,Seleccione las instituciones para mostrar
Metrics for,Metrics for,Métricas para
All Institutions,All Institutions,Todas las instituciones
Total Institutions,Total Institutions,Total de instituciones
Total number of enabled institutions with at least 3 users,Total number of enabled institutions with at least 3 users,Número total de instituciones habilitadas con al menos 3 usuarios
Users,Users,Usuarios
Total users by year,Total users by year,Usuarios totales por año
Logged users by year,Logged users by year,Usuarios registrados por año
Year,Year,Año
Collaborators users by institution,Collaborators users by institution,Usuarios de colaboradores por institución
Institution,Institution,Institución
Admin users by institution,Admin users by institution,Usuarios administrativos por institución
Metrics,Metrics,Métricas 
Total Users,Total Users,Usuarios totales
Total number of users,Total number of users,Número total de usuarios
Active Users,Active Users,Usuarios activos
Total number of active users,Total number of active users,Número total de usuarios activos
Collaborators Users,Collaborators Users,Usuarios de colaboradores
Total number of collaborators,Total number of collaborators,Número total de colaboradores
Admin Users,Admin Users,Usuarios administrativos
Total number of admins,Total number of admins,Número total de administradores
Courses,Courses,Cursos
Created Programs,Created Programs,Programas creados
Total number of programs created,Total number of programs created,Número total de programas creados
Created Contents,Created Contents,Contenido creado
Total number of content items created,Total number of content items created,Número total de elementos de contenido creados
Created Courses,Created Courses,Cursos creados
Finished Courses,Finished Courses,Cursos terminados
Courses Views,Courses Views,Vistas de cursos
Created Tests,Created Tests,Pruebas creadas
Created Questions,Created Questions,Preguntas creadas
Answered Questions,Answered Questions,Preguntas respondidas
Correct Answers,Correct Answers,Respuestas correctas
Incorrect Answers,Incorrect Answers,Respuestas incorrectas
Attempts Count,Attempts Count,Intentos totales
Created courses by Institution,Created courses by Institution,Cursos creados por institución
Courses created,Courses created,Cursos creados
Courses views count by Institution,Courses views count by Institution,Cursos Vistas al recuento de institución
Views,Views,Vistas
News,News,Noticias
Metric,Metric,Métrica
Created News,Created News,Noticias creadas
Total number of news items created,Total number of news items created,Número total de noticias creadas
News Views,News Views,Vistas de noticias
Total number of views,Total number of views,Número total de vistas
News Likes Count,News Likes Count,Las noticias le gusta el recuento
Total number of likes,Total number of likes,Número total de me gusta
Comments Count,Comments Count,Comentarios totales
Total number of comments,Total number of comments,Número total de comentarios
Download as,Download as,Descargar como
Number of Institutions,Number of Institutions,Número de instituciones
